theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-24572.0,-8808.0,-59541.0,1189.0,-24572.0,-8808.0,-59541.0,-566.279,5.68,-913.75,-34.34,67.75
-24281.0,-8833.0,-59861.0,1189.0,-24281.0,-8833.0,-59861.0,-568.761,2.486,-921.93,-35.149,71.04
-23974.0,-8860.0,-60185.0,1189.0,-23974.0,-8860.0,-60185.0,-571.591,-5.543,-927.07,-35.852,74.78
-23651.0,-8889.0,-60512.0,1189.0,-23651.0,-8889.0,-60512.0,-576.775,-11.834,-930.13,-36.453,78.35
-23313.0,-8919.0,-60841.0,1189.0,-23313.0,-8919.0,-60841.0,-585.098,-18.811,-931.3,-36.624,81.84
-22960.0,-8951.0,-61170.0,1189.0,-22960.0,-8951.0,-61170.0,-593.3,-27.511,-930.4,-36.922,85.13
-22597.0,-8982.0,-61499.0,1189.0,-22597.0,-8982.0,-61499.0,-603.848,-34.78,-929.89,-36.683,87.94
-22224.0,-9012.0,-61825.0,1189.0,-22224.0,-9012.0,-61825.0,-616.867,-41.18,-929.77,-35.964,90.45
-21842.0,-9038.0,-62148.0,1191.0,-21842.0,-9038.0,-62148.0,-629.004,-47.188,-927.05,-34.679,92.78
-21452.0,-9057.0,-62468.0,1191.0,-21452.0,-9057.0,-62468.0,-640.309,-50.5,-922.06,-32.891,94.85
-21053.0,-9071.0,-62783.0,1191.0,-21053.0,-9071.0,-62783.0,-650.789,-51.449,-920.07,-31.103,97.07
-20644.0,-9078.0,-63094.0,1191.0,-20644.0,-9078.0,-63094.0,-655.599,-50.48,-918.31,-29.089,99.56
-20222.0,-9080.0,-63399.0,1191.0,-20222.0,-9080.0,-63399.0,-659.794,-47.249,-913.49,-27.111,102.2
-19787.0,-9076.0,-63699.0,1191.0,-19787.0,-9076.0,-63699.0,-666.867,-41.921,-909.14,-24.884,105.36
-19336.0,-9066.0,-63993.0,1191.0,-19336.0,-9066.0,-63993.0,-673.243,-36.974,-905.27,-22.654,108.72
-18869.0,-9050.0,-64281.0,1191.0,-18869.0,-9050.0,-64281.0,-677.159,-32.418,-898.79,-20.621,112.34
-18384.0,-9029.0,-64564.0,1195.0,-18384.0,-9029.0,-64564.0,-681.876,-30.291,-892.38,-18.636,116.14
-17882.0,-9003.0,-64840.0,1195.0,-17882.0,-9003.0,-64840.0,-685.437,-30.978,-888.79,-16.886,119.83
-17362.0,-8973.0,-65109.0,1195.0,-17362.0,-8973.0,-65109.0,-687.309,-29.223,-884.96,-14.906,123.48
-16827.0,-8936.0,-65371.0,1195.0,-16827.0,-8936.0,-65371.0,-690.557,-30.052,-880.56,-12.904,126.78
-16276.0,-8893.0,-65626.0,1195.0,-16276.0,-8893.0,-65626.0,-689.857,-32.095,-876.23,-10.669,129.95
-15710.0,-8842.0,-65872.0,1195.0,-15710.0,-8842.0,-65872.0,-686.786,-33.859,-874.17,-8.172,132.99
-15129.0,-8782.0,-66111.0,1195.0,-15129.0,-8782.0,-66111.0,-682.311,-38.568,-871.94,-5.642,135.96
-14530.0,-8712.0,-66341.0,1195.0,-14530.0,-8712.0,-66341.0,-675.153,-43.089,-866.67,-2.718,139.22
-13914.0,-8632.0,-66563.0,1195.0,-13914.0,-8632.0,-66563.0,-667.84,-47.013,-861.68,-0.076,142.65
-13280.0,-8543.0,-66778.0,1195.0,-13280.0,-8543.0,-66778.0,-657.759,-48.548,-857.16,2.628,146.21
-12624.0,-8445.0,-66985.0,1195.0,-12624.0,-8445.0,-66985.0,-647.083,-47.343,-852.45,5.135,150.04
-11949.0,-8340.0,-67185.0,1195.0,-11949.0,-8340.0,-67185.0,-639.147,-46.421,-847.84,7.542,153.93
-11255.0,-8227.0,-67379.0,1195.0,-11255.0,-8227.0,-67379.0,-631.054,-47.828,-840.75,9.994,157.8
-10539.0,-8104.0,-67567.0,1195.0,-10539.0,-8104.0,-67567.0,-622.734,-49.109,-836.12,12.462,161.86
-9804.0,-7972.0,-67750.0,1195.0,-9804.0,-7972.0,-67750.0,-614.934,-47.83,-834.39,15.13,165.85
-9049.0,-7830.0,-67926.0,1195.0,-9049.0,-7830.0,-67926.0,-607.554,-47.047,-831.8,17.869,169.62
-8275.0,-7677.0,-68098.0,1202.0,-8275.0,-7677.0,-68098.0,-602.874,-47.099,-831.35,20.73,173.4
-7484.0,-7512.0,-68266.0,1202.0,-7484.0,-7512.0,-68266.0,-598.235,-49.582,-833.3,23.681,176.98
-6676.0,-7334.0,-68429.0,1202.0,-6676.0,-7334.0,-68429.0,-588.294,-54.627,-836.8,26.857,180.41
-5849.0,-7142.0,-68589.0,1202.0,-5849.0,-7142.0,-68589.0,-576.044,-56.787,-842.33,30.091,184.07
