theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-827.0,992.0,120679.0,223.0,-827.0,992.0,120679.0,9.09,-24.808,-981.74,0.256,0.06
-827.0,993.0,120680.0,223.0,-827.0,993.0,120680.0,8.54,-27.049,-981.71,0.302,-0.03
-827.0,993.0,120680.0,223.0,-827.0,993.0,120680.0,8.348,-24.078,-981.77,0.293,-0.14
-827.0,993.0,120681.0,223.0,-827.0,993.0,120681.0,8.642,-21.458,-981.82,0.28,-0.08
-828.0,993.0,120681.0,223.0,-828.0,993.0,120681.0,6.319,-22.172,-981.85,0.287,-0.17
-829.0,993.0,120682.0,223.0,-829.0,993.0,120682.0,4.069,-24.76,-981.84,0.282,0.05
-829.0,994.0,120682.0,223.0,-829.0,994.0,120682.0,4.667,-26.919,-981.79,0.283,0.02
-829.0,994.0,120683.0,223.0,-829.0,994.0,120683.0,5.002,-24.048,-981.84,0.289,0.03
-830.0,994.0,120683.0,223.0,-830.0,994.0,120683.0,4.792,-21.481,-981.9,0.285,-0.03
-831.0,995.0,120684.0,223.0,-831.0,995.0,120684.0,4.717,-24.609,-981.84,0.284,-0.17
-832.0,996.0,120684.0,223.0,-832.0,996.0,120684.0,2.21,-27.135,-981.83,0.285,-0.09
-834.0,996.0,120685.0,223.0,-834.0,996.0,120685.0,-0.166,-24.047,-981.93,0.285,-0.15
-836.0,996.0,120685.0,223.0,-836.0,996.0,120685.0,0.379,-21.488,-981.97,0.285,-0.08
-836.0,996.0,120686.0,223.0,-836.0,996.0,120686.0,3.067,-22.255,-981.91,0.285,0.06
-837.0,996.0,120686.0,223.0,-837.0,996.0,120686.0,5.259,-22.544,-981.86,0.285,-0.02
-836.0,996.0,120687.0,223.0,-836.0,996.0,120687.0,4.674,-22.271,-979.49,0.285,0.18
-836.0,996.0,120687.0,223.0,-836.0,996.0,120687.0,6.671,-22.231,-977.11,0.285,0.06
-836.0,996.0,120688.0,223.0,-836.0,996.0,120688.0,6.8,-22.256,-977.7,0.285,-0.02
-836.0,996.0,120688.0,223.0,-836.0,996.0,120688.0,6.167,-22.27,-978.02,0.285,-0.01
-837.0,996.0,120689.0,223.0,-837.0,996.0,120689.0,8.719,-22.272,-977.8,0.285,-0.22
-837.0,996.0,120689.0,223.0,-837.0,996.0,120689.0,8.564,-22.279,-977.85,0.284,-0.07
-838.0,995.0,120690.0,223.0,-838.0,995.0,120690.0,8.075,-22.278,-977.84,0.139,-0.12
-837.0,994.0,120690.0,223.0,-837.0,994.0,120690.0,8.362,-22.281,-977.86,0.044,0.04
-837.0,993.0,120691.0,223.0,-837.0,993.0,120691.0,8.376,-22.295,-977.85,0.031,0.01
-836.0,992.0,120691.0,223.0,-836.0,992.0,120691.0,8.418,-22.245,-975.46,0.05,0.18
-836.0,992.0,120692.0,223.0,-836.0,992.0,120692.0,8.416,-22.309,-975.52,0.284,0.05
