theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
-1398.0,-85383.0,116461.0,409.0,-1398.0,-85383.0,116461.0,-0.329,1021.359,-80.38,0.398,-0.53
-1397.0,-85382.0,116464.0,409.0,-1397.0,-85382.0,116464.0,-0.577,1018.931,-80.01,0.277,-0.58
-1396.0,-85381.0,116467.0,409.0,-1396.0,-85381.0,116467.0,-0.48,1016.13,-77.1,0.386,-0.57
-1395.0,-85382.0,116470.0,409.0,-1395.0,-85382.0,116470.0,-0.551,1016.907,-74.98,0.052,-0.56
-1394.0,-85384.0,116472.0,409.0,-1394.0,-85384.0,116472.0,-0.512,1016.987,-75.53,0.038,-0.56
-1393.0,-85384.0,116475.0,409.0,-1393.0,-85384.0,116475.0,-2.988,1016.853,-73.52,0.232,-0.56
-1394.0,-85385.0,116477.0,409.0,-1394.0,-85385.0,116477.0,-5.322,1016.787,-73.41,0.151,-0.42
-1393.0,-85385.0,116482.0,409.0,-1393.0,-85385.0,116482.0,-4.501,1016.633,-73.7,0.196,-0.41
-1393.0,-85386.0,116484.0,409.0,-1393.0,-85386.0,116484.0,-7.181,1016.732,-70.94,0.136,-0.35
-1393.0,-85387.0,116487.0,409.0,-1393.0,-85387.0,116487.0,-9.408,1016.695,-74.17,0.204,-0.54
-1394.0,-85387.0,116488.0,409.0,-1394.0,-85387.0,116488.0,-8.799,1016.683,-76.75,0.208,-0.25
-1395.0,-85387.0,116493.0,409.0,-1395.0,-85387.0,116493.0,-8.75,1016.88,-75.72,0.154,-0.46
-1396.0,-85388.0,116494.0,409.0,-1396.0,-85388.0,116494.0,-8.695,1016.936,-75.9,0.109,-0.3
-1397.0,-85391.0,116500.0,409.0,-1397.0,-85391.0,116500.0,-8.626,1016.995,-75.86,-0.11,-0.38
-1397.0,-85391.0,116502.0,409.0,-1397.0,-85391.0,116502.0,-8.586,1016.961,-75.85,0.069,-0.5
-1397.0,-85392.0,116505.0,409.0,-1397.0,-85392.0,116505.0,-6.146,1016.857,-75.82,0.105,-0.63
