2992.0,-3000.0,6595.0,908.0,2992.0,-3000.0,6595.0,-157.126,-48.7,-1051.77,-12.958,0.68
2992.0,-3016.0,7101.0,908.0,2992.0,-3016.0,7101.0,-153.56,-52.313,-1051.32,-11.413,2.12
3001.0,-3024.0,7605.0,908.0,3001.0,-3024.0,7605.0,-150.715,-55.881,-1051.38,-10.115,3.81
3021.0,-3026.0,8106.0,908.0,3021.0,-3026.0,8106.0,-149.633,-59.438,-1051.21,-8.924,5.93
3050.0,-3022.0,8604.0,912.0,3050.0,-3022.0,8604.0,-144.231,-62.28,-1048.65,-7.821,7.71
3088.0,-3014.0,9102.0,912.0,3088.0,-3014.0,9102.0,-139.88,-64.726,-1043.71,-7.151,9.34
3133.0,-3002.0,9600.0,912.0,3133.0,-3002.0,9600.0,-139.421,-64.645,-1039.51,-6.468,10.75
3180.0,-2989.0,10099.0,912.0,3180.0,-2989.0,10099.0,-141.096,-64.763,-1035.64,-6.186,11.28
3229.0,-2973.0,10601.0,912.0,3229.0,-2973.0,10601.0,-142.149,-65.761,-1031.58,-5.897,11.75
3277.0,-2955.0,11106.0,912.0,3277.0,-2955.0,11106.0,-144.562,-67.158,-1029.99,-5.488,11.54
3321.0,-2932.0,11614.0,912.0,3321.0,-2932.0,11614.0,-148.619,-71.564,-1028.33,-4.94,11.08
3363.0,-2905.0,12125.0,912.0,3363.0,-2905.0,12125.0,-148.644,-76.385,-1023.71,-4.12,10.5
3401.0,-2872.0,12638.0,916.0,3401.0,-2872.0,12638.0,-149.601,-81.058,-1019.39,-3.365,9.93
3436.0,-2832.0,13154.0,916.0,3436.0,-2832.0,13154.0,-152.666,-88.335,-1013.18,-2.172,9.53
3472.0,-2783.0,13669.0,916.0,3472.0,-2783.0,13669.0,-151.791,-97.688,-1006.7,-0.838,9.7
3511.0,-2725.0,14185.0,916.0,3511.0,-2725.0,14185.0,-147.987,-106.255,-1003.16,0.726,10.21
3552.0,-2658.0,14698.0,916.0,3552.0,-2658.0,14698.0,-145.057,-111.6,-999.39,2.543,10.72
3597.0,-2582.0,15208.0,916.0,3597.0,-2582.0,15208.0,-140.782,-116.505,-992.74,4.035,11.66
3645.0,-2496.0,15716.0,916.0,3645.0,-2496.0,15716.0,-137.34,-121.361,-986.34,5.806,12.21
3695.0,-2403.0,16219.0,916.0,3695.0,-2403.0,16219.0,-135.507,-123.239,-980.48,7.179,12.82
3747.0,-2305.0,16720.0,922.0,3747.0,-2305.0,16720.0,-132.103,-125.008,-974.37,8.262,13.24
3797.0,-2202.0,17219.0,922.0,3797.0,-2202.0,17219.0,-129.463,-125.059,-970.71,9.069,13.05
3843.0,-2099.0,17718.0,922.0,3843.0,-2099.0,17718.0,-127.731,-122.76,-964.66,9.345,12.32
3883.0,-1996.0,18219.0,922.0,3883.0,-1996.0,18219.0,-125.708,-121.576,-958.11,9.236,11.14
3912.0,-1893.0,18722.0,922.0,3912.0,-1893.0,18722.0,-125.519,-121.402,-954.76,9.098,9.2
