theta,phi,psi,altitude,vx,vy,vz,accelx,accely,accelz,yaw1,yaw2
74.0,358.0,27791.0,456.0,-8.24,-0.948,0.0,103.982,-108.078,-1041.47,3.871,-1.08
103.0,355.0,27790.0,456.0,-21.092,-5.645,0.0,105.666,-24.583,-1005.49,-0.169,3.78
63.0,333.0,27788.0,456.0,-6.045,-25.73,0.0,-10.917,53.545,-953.24,-1.438,-5.98
60.0,361.0,27789.0,456.0,5.91,-21.169,0.0,-5.811,-36.681,-993.39,5.676,1.14
69.0,388.0,27786.0,456.0,-11.441,-2.2,0.0,108.205,-97.914,-1033.48,3.536,-0.24
72.0,405.0,27790.0,454.0,-22.734,-12.097,0.0,93.637,0.242,-989.47,4.52,-0.88
49.0,402.0,27788.0,454.0,-4.721,-29.494,0.0,-20.675,36.098,-965.97,1.966,-2.36
54.0,418.0,27792.0,454.0,6.086,-19.058,0.0,-0.23,-68.679,-1006.29,2.221,2.56
66.0,430.0,27790.0,454.0,-16.859,-0.848,0.0,126.49,-83.808,-1018.24,0.984,-0.26
78.0,418.0,27791.0,454.0,-29.731,-12.645,0.0,96.664,29.566,-983.65,-0.303,0.95
49.0,412.0,27791.0,454.0,-6.056,-22.245,0.0,-46.531,26.836,-974.91,0.909,-2.87
58.0,440.0,27786.0,454.0,1.122,0.226,0.0,9.124,-99.283,-995.56,3.605,3.06
71.0,468.0,27788.0,454.0,-30.776,10.676,0.0,154.758,-73.107,-997.76,4.669,-0.99
70.0,445.0,27784.0,452.0,-35.808,-8.97,0.0,60.617,44.599,-992.42,-1.849,-0.54
57.0,449.0,27785.0,452.0,-6.695,-15.106,0.0,-76.771,-0.398,-980.62,2.052,1.45
55.0,472.0,27782.0,452.0,-11.828,8.009,0.0,58.3,-103.057,-979.93,2.381,-0.71
102.0,474.0,27782.0,452.0,-41.736,13.483,0.0,162.208,-42.814,-998.74,0.309,5.53
75.0,450.0,27779.0,452.0,-27.096,-2.215,0.0,-5.247,41.038,-998.69,-2.067,-3.51
66.0,461.0,27778.0,452.0,-0.066,-2.579,0.0,-61.432,-27.169,-966.69,2.441,1.62
59.0,474.0,27777.0,452.0,-21.836,14.69,0.0,124.954,-99.158,-981.12,0.663,-3.94
80.0,465.0,27777.0,452.0,-44.11,10.835,0.0,137.867,-21.667,-1021.44,-1.13,1.26
42.0,442.0,27778.0,455.0,-17.725,-7.977,0.0,-50.205,41.534,-992.77,-2.014,-4.42
32.0,456.0,27779.0,455.0,3.968,-3.058,0.0,-27.623,-45.311,-957.25,2.569,0.44
68.0,468.0,27778.0,455.0,-21.03,15.285,0.0,152.753,-102.751,-1016.93,0.325,3.69
60.0,466.0,27781.0,455.0,-27.767,6.971,0.0,90.55,-3.144,-1041.4,0.91,-2.88
31.0,455.0,27779.0,455.0,3.051,-11.515,0.0,-65.592,36.321,-963.36,0.318,-2.22
35.0,474.0,27781.0,455.0,5.484,0.218,0.0,35.259,-77.721,-966.71,2.452,1.2
44.0,495.0,27781.0,455.0,-23.239,14.114,0.0,161.667,-92.575,-1051.27,2.474,-2.03
37.0,474.0,27781.0,455.0,-20.151,-4.575,0.0,40.266,36.398,-1013.55,-1.713,-1.11
5.0,456.0,27785.0,455.0,7.238,-18.332,0.0,-60.735,25.836,-937.13,-1.486,-2.78
11.0,460.0,27782.0,455.0,-0.688,1.682,0.0,70.185,-105.18,-994.98,-1.292,0.39
27.0,480.0,27786.0,455.0,-24.399,9.673,0.0,138.763,-66.291,-1046.67,3.173,0.03
19.0,458.0,27785.0,455.0,-11.623,-12.856,0.0,2.477,46.871,-967.74,-1.752,-0.08
5.0,465.0,27785.0,455.0,9.82,-19.085,0.0,-39.39,-8.109,-943.17,2.5,-0.05
5.0,477.0,27786.0,455.0,-4.786,-0.772,0.0,97.535,-105.243,-1024.01,0.286,-1.7
26.0,458.0,27784.0,455.0,-26.202,0.677,0.0,119.437,-33.735,-1009.82,-3.538,1.94
-5.0,432.0,27784.0,455.0,-11.902,-17.887,0.0,-16.105,47.336,-943.39,-2.431,-4.31
0.0,457.0,27785.0,450.0,0.619,-15.213,0.0,-16.075,-29.781,-971.23,5.123,3.04
13.0,487.0,27782.0,450.0,-19.261,3.421,0.0,112.186,-98.987,-1024.83,4.099,0.46
30.0,490.0,27785.0,450.0,-32.723,-1.407,0.0,95.761,-12.69,-983.64,1.547,1.94
-2.0,467.0,27782.0,450.0,-16.433,-18.603,0.0,-19.317,40.39,-948.09,-2.059,-4.55
-4.0,469.0,27784.0,450.0,-7.692,-11.352,0.0,3.416,-50.628,-989.21,0.101,0.92
14.0,463.0,27781.0,450.0,-29.605,9.113,0.0,117.453,-83.504,-1015.19,-2.735,1.42
15.0,444.0,27781.0,450.0,-39.293,1.65,0.0,78.279,20.191,-977.12,-1.799,-0.73
-3.0,428.0,27779.0,450.0,-17.845,-7.957,0.0,-44.439,32.975,-968.14,-0.931,-0.78
6.0,437.0,27778.0,452.0,-8.09,7.09,0.0,11.141,-88.873,-1000.12,0.281,2.99
19.0,458.0,27778.0,452.0,-30.711,18.038,0.0,138.878,-79.962,-993.93,2.694,-0.28
24.0,434.0,27775.0,452.0,-32.364,-1.258,0.0,64.329,38.084,-981.84,-2.157,0.35
4.0,435.0,27780.0,452.0,-1.684,-9.369,0.0,-67.748,7.589,-987.03,1.694,-0.4
5.0,453.0,27774.0,452.0,0.451,11.223,0.0,33.838,-105.663,-991.43,1.357,0.58
23.0,465.0,27776.0,452.0,-25.706,17.73,0.0,148.632,-58.703,-1006.25,1.842,0.23
3.0,440.0,27775.0,452.0,-14.988,-0.331,0.0,10.718,38.465,-1006.14,-2.622,-2.73
-17.0,451.0,27773.0,452.0,15.942,-2.144,0.0,-73.93,-25.157,-982.08,2.645,-0.31
-21.0,474.0,27772.0,450.0,1.237,15.462,0.0,97.55,-103.713,-991.74,2.532,-2.46
